[107.829570770] 2018-01-12 13:45:21,349 - INFO - launcher: Starting sanity checks
[108.330965042] 2018-01-12 13:45:21,349 - INFO - launcher: Checking for Python 3.5+
[108.330965042] 2018-01-12 13:45:21,349 - INFO - launcher: Checking console encoding
[108.830451965] 2018-01-12 13:45:21,350 - INFO - launcher: Setting console encoding to UTF-8
[108.830451965] 2018-01-12 13:45:21,350 - INFO - launcher: Ensuring we're in the right environment
[126.929044724] 2018-01-12 13:45:21,368 - INFO - launcher: Adding local bins/ folder to path
[127.929449081] 2018-01-12 13:45:21,369 - INFO - launcher: Required checks passed.
[143.047094345] 2018-01-12 13:45:21,384 - INFO - launcher: Optional checks passed.
[143.549680710] 2018-01-12 13:45:21,384 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[5.9030807018280029] 2018-01-12 13:45:27,144 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 382 in join_voice_channel: (join_voice_channel) setting voice state
[5.9035811424255371] 2018-01-12 13:45:27,144 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 385 in join_voice_channel: (join_voice_channel) waiting for session id
[6.0176351070404053] 2018-01-12 13:45:27,258 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 400269627609055243/GaM Bot 1#8328 on Gaming and More :3/Only-puk-:D -> [JOIN, CONNECT]
[6.0181357860565186] 2018-01-12 13:45:27,259 - INFO - musicbot.bot | In bot.py::MainThread(8500), line 2575 in on_voice_state_update: 400269627609055243/GaM Bot 1#8328 has joined Gaming and More :3/Only-puk-:D
[6.0191361904144287] 2018-01-12 13:45:27,260 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 389 in join_voice_channel: (join_voice_channel) waiting for voice data
[6.2172782421112061] 2018-01-12 13:45:27,458 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 403 in join_voice_channel: (join_voice_channel) connecting...
[6.3703439235687256] 2018-01-12 13:45:27,611 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 415 in join_voice_channel: (join_voice_channel) connection successful
[6.3703439235687256] 2018-01-12 13:45:27,611 - DEBUG - musicbot.bot | In bot.py::MainThread(8500), line 463 in get_voice_client: Connected in 0.5s
[6.3703439235687256] 2018-01-12 13:45:27,611 - INFO - musicbot.bot | In bot.py::MainThread(8500), line 464 in get_voice_client: Connected to Gaming and More :3/Only-puk-:D
[6.4616174697875977] 2018-01-12 13:45:27,702 - DEBUG - musicbot.bot | In bot.py::MainThread(8500), line 805 in deserialize_queue: Deserializing queue for 302866413482147842
[7.3389577865600586] 2018-01-12 13:45:28,580 - DEBUG - musicbot.bot | In bot.py::MainThread(8500), line 555 in get_player: Created player via deserialization for server 302866413482147842 with 1 entries
[7.3389577865600586] 2018-01-12 13:45:28,580 - INFO - musicbot.bot | In bot.py::MainThread(8500), line 283 in _join_startup_channels: Joined Gaming and More :3/Only-puk-:D
[7.3399460315704346] 2018-01-12 13:45:28,581 - VOICEDEBUG - musicbot.player | In player.py::MainThread(8500), line 311 in websocket_check: Starting websocket check loop for Gaming and More :3
[7.3399460315704346] 2018-01-12 13:45:28,581 - FFMPEG - musicbot.player | In player.py::MainThread(8500), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-fKopy74weus-Imagine_Dragons_-_Thunder.webm
[7.5721521377563477] 2018-01-12 13:45:28,813 - DEBUG - musicbot.bot | In bot.py::MainThread(8500), line 781 in serialize_queue: Serializing queue for 302866413482147842
[15.7614903450012207] 2018-01-12 13:45:37,002 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 302377298873679872/Bex#1417 on Gaming and More :3/Gta -> [LEAVE, MOVE]
[20.7245073318481445] 2018-01-12 13:45:41,965 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 323124758638100482/ruby55#4205 on Gaming and More :3/Gta -> [MUTE]
[22.0533232688903809] 2018-01-12 13:45:43,294 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 323124758638100482/ruby55#4205 on Gaming and More :3/Gta -> [UNMUTE]
[24.0460863113403320] 2018-01-12 13:45:45,287 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 323124758638100482/ruby55#4205 on Gaming and More :3/Gta -> [MUTE]
[24.4771056175231934] 2018-01-12 13:45:45,718 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 323124758638100482/ruby55#4205 on Gaming and More :3/Gta -> [UNMUTE]
[29.7978992462158203] 2018-01-12 13:45:51,039 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 302377298873679872/Bex#1417 on Gaming and More :3/Only-puk-:D -> [JOIN, MOVE]
[29.7983999252319336] 2018-01-12 13:45:51,039 - INFO - musicbot.bot | In bot.py::MainThread(8500), line 2575 in on_voice_state_update: 302377298873679872/Bex#1417 has joined Gaming and More :3/Only-puk-:D
[31.7839493751525879] 2018-01-12 13:45:53,025 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 302377298873679872/Bex#1417 on Gaming and More :3/Gta -> [LEAVE, MOVE]
[49.3698952198028564] 2018-01-12 13:46:10,611 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 302377298873679872/Bex#1417 on Gaming and More :3/Only-puk-:D -> [JOIN, MOVE]
[49.3703961372375488] 2018-01-12 13:46:10,611 - INFO - musicbot.bot | In bot.py::MainThread(8500), line 2575 in on_voice_state_update: 302377298873679872/Bex#1417 has joined Gaming and More :3/Only-puk-:D
[214.5109798908233643] 2018-01-12 13:48:55,752 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 219 in _really_download: Download started: https://youtube.com/watch?v=BrPK4huvorI
[216.2900030612945557] 2018-01-12 13:48:57,531 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 226 in _really_download: Download complete: https://youtube.com/watch?v=BrPK4huvorI
[216.5110747814178467] 2018-01-12 13:48:57,752 - FFMPEG - musicbot.player | In player.py::MainThread(8500), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-BrPK4huvorI-Clark_Manson_-_Track_9.webm
[216.5808374881744385] 2018-01-12 13:48:57,822 - DEBUG - musicbot.bot | In bot.py::MainThread(8500), line 781 in serialize_queue: Serializing queue for 302866413482147842
[396.6689999103546143] 2018-01-12 13:51:57,910 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 219 in _really_download: Download started: https://youtube.com/watch?v=PM98IHH0rfE
[398.4151871204376221] 2018-01-12 13:51:59,656 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 226 in _really_download: Download complete: https://youtube.com/watch?v=PM98IHH0rfE
[398.6553492546081543] 2018-01-12 13:51:59,896 - FFMPEG - musicbot.player | In player.py::MainThread(8500), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-PM98IHH0rfE-Dubstep_-_Slips_Slurs_x_Mihka_-_WiFi_Tears_Monstercat_Release.webm
[398.8825004100799561] 2018-01-12 13:52:00,123 - DEBUG - musicbot.bot | In bot.py::MainThread(8500), line 781 in serialize_queue: Serializing queue for 302866413482147842
[619.4277703762054443] 2018-01-12 13:55:40,668 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 219 in _really_download: Download started: https://youtube.com/watch?v=2TgO-tN5wAM
[620.9027733802795410] 2018-01-12 13:55:42,143 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 226 in _really_download: Download complete: https://youtube.com/watch?v=2TgO-tN5wAM
[621.4248270988464355] 2018-01-12 13:55:42,666 - FFMPEG - musicbot.player | In player.py::MainThread(8500), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-2TgO-tN5wAM-Undertale_OST_-_068_-_Death_by_Glamour.webm
[621.6596324443817139] 2018-01-12 13:55:42,900 - DEBUG - musicbot.bot | In bot.py::MainThread(8500), line 781 in serialize_queue: Serializing queue for 302866413482147842
[666.1920597553253174] 2018-01-12 13:56:27,433 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 323124758638100482/ruby55#4205 on Gaming and More :3/Gta -> [MUTE]
[758.3499417304992676] 2018-01-12 13:57:59,591 - ERROR - musicbot.bot | In bot.py::MainThread(8500), line 656 in on_player_finished_playing: Error processing youtube url:
ERROR: BQFrezbeL10: YouTube said: Invalid parameters.
[758.5913791656494141] 2018-01-12 13:57:59,832 - INFO - musicbot.bot | In bot.py::MainThread(8500), line 337 in remove_from_autoplaylist: Removing unplayable song from autoplaylist: https://youtube.com/watch?v=BQFrezbeL10
[758.6950023174285889] 2018-01-12 13:57:59,936 - INFO - musicbot.bot | In bot.py::MainThread(8500), line 351 in remove_from_autoplaylist: Updating autoplaylist
[763.1297488212585449] 2018-01-12 13:58:04,370 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 219 in _really_download: Download started: https://youtube.com/watch?v=qn4hQufHVsE
[765.1151034832000732] 2018-01-12 13:58:06,356 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 226 in _really_download: Download complete: https://youtube.com/watch?v=qn4hQufHVsE
[765.1186053752899170] 2018-01-12 13:58:06,359 - FFMPEG - musicbot.player | In player.py::MainThread(8500), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-qn4hQufHVsE-Louis_The_Child_-_From_Here.webm
[765.5727376937866211] 2018-01-12 13:58:06,813 - DEBUG - musicbot.bot | In bot.py::MainThread(8500), line 781 in serialize_queue: Serializing queue for 302866413482147842
[972.4167020320892334] 2018-01-12 14:01:33,657 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 219 in _really_download: Download started: https://youtube.com/watch?v=SDDn4Kh65MA
[974.5071544647216797] 2018-01-12 14:01:35,748 - INFO - musicbot.entry | In entry.py::MainThread(8500), line 226 in _really_download: Download complete: https://youtube.com/watch?v=SDDn4Kh65MA
[974.5131597518920898] 2018-01-12 14:01:35,754 - FFMPEG - musicbot.player | In player.py::MainThread(8500), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-SDDn4Kh65MA-blessthefall_-_Hollow_Bodies.webm
[976.5502970218658447] 2018-01-12 14:01:37,791 - DEBUG - musicbot.bot | In bot.py::MainThread(8500), line 781 in serialize_queue: Serializing queue for 302866413482147842
[1040.6410861015319824] 2018-01-12 14:02:41,882 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(8500), line 2564 in on_voice_state_update: Voice state update for 323124758638100482/ruby55#4205 on Gaming and More :3/Gta -> [UNMUTE]
